Control Cell X	Control Cell Y	SAR X	SAR Y
-37.637314475542	778.799987792969	-37.637314475542	774.320007324219
-34.633393002359	778.880004882813	-34.633393002359	773.960021972656
-31.630479117526	778.640014648438	-31.630479117526	774.200012207031
-28.628572342671	778.880004882813	-28.628572342671	774.119995117188
-25.627672199711	778.520019531250	-25.627672199711	774.200012207031
-22.627778210877	778.799987792969	-22.627778210877	774.400024414063
-19.628889898701	778.760009765625	-19.628889898701	774.400024414063
-16.631006786008	779.320007324219	-16.631006786008	774.400024414063
-13.634128395939	779.760009765625	-13.634128395939	774.640014648438
-10.638254251923	782.559997558594	-10.638254251923	775.679992675781
-7.643383877694	798.440002441406	-7.643383877694	782.039978027344
-4.649516797295	834.919982910156	-4.649516797295	793.799987792969
-1.656652535061	851.400024414063	-1.656652535061	800.599975585938
1.335209384381	831.159973144531	1.335209384381	792.080017089844
4.326069436081	792.679992675781	4.326069436081	780.599975585938
7.315928094803	780.559997558594	7.315928094803	774.919982910156
10.304785835015	779.080017089844	10.304785835015	773.719970703125
13.292643130875	779.200012207031	13.292643130875	774.440002441406
16.279500456254	778.760009765625	16.279500456254	774.159973144531
19.265358284712	779.159973144531	19.265358284712	774.239990234375
22.250217089519	778.919982910156	22.250217089519	774.200012207031
25.234077343634	778.960021972656	25.234077343634	774.479980468750
28.216939519735	778.599975585938	28.216939519735	774.679992675781
31.198804090194	779.080017089844	31.198804090194	774.280029296875
34.179671527081	778.880004882813	34.179671527081	774.280029296875
37.159542302173	779.039978027344	37.159542302173	774.080017089844
40.138416886947	778.599975585938	40.138416886947	774.400024414063
43.116295752585	778.919982910156	43.116295752585	774.599975585938
46.093179369979	778.799987792969	46.093179369979	774.239990234375
49.069068209706	779.000000000000	49.069068209706	774.119995117188
52.043962742062	778.599975585938	52.043962742062	774.760009765625
55.017863437048	778.719970703125	55.017863437048	774.520019531250
57.990770764359	778.799987792969	57.990770764359	774.479980468750
60.962685193396	779.000000000000	60.962685193396	774.080017089844
63.933607193274	778.880004882813	63.933607193274	774.159973144531
66.903537232802	779.280029296875	66.903537232802	774.400024414063
69.872475780496	778.880004882813	69.872475780496	774.080017089844
72.840423304583	779.159973144531	72.840423304583	774.320007324219
75.807380272993	779.239990234375	75.807380272993	773.799987792969
78.773347153360	778.880004882813	78.773347153360	774.239990234375
81.738324413019	779.119995117188	81.738324413019	774.520019531250
84.702312519025	779.000000000000	84.702312519025	774.119995117188
87.665311938125	779.039978027344	87.665311938125	774.280029296875
90.627323136776	778.520019531250	90.627323136776	774.479980468750
93.588346581157	779.239990234375	93.588346581157	774.320007324219
96.548382737124	778.640014648438	96.548382737124	774.200012207031
99.507432070273	778.599975585938	99.507432070273	774.119995117188
102.465495045889	778.559997558594	102.465495045889	774.119995117188
105.422572128961	779.000000000000	105.422572128961	774.239990234375
108.378663784199	778.559997558594	108.378663784199	774.159973144531
111.333770476014	778.919982910156	111.333770476014	774.000000000000
114.287892668528	778.599975585938	114.287892668528	773.919982910156
117.241030825570	778.880004882813	117.241030825570	774.359985351563
120.193185410674	778.919982910156	120.193185410674	774.520019531250
123.144356887097	779.080017089844	123.144356887097	774.359985351563
126.094545717786	779.239990234375	126.094545717786	774.239990234375
129.043752365413	779.440002441406	129.043752365413	774.479980468750
131.991977292355	779.000000000000	131.991977292355	775.080017089844
134.939220960695	780.080017089844	134.939220960695	775.119995117188
137.885483832232	779.520019531250	137.885483832232	774.599975585938
140.830766368470	779.719970703125	140.830766368470	774.760009765625
143.775069030632	780.400024414063	143.775069030632	775.000000000000
146.718392279644	780.559997558594	146.718392279644	776.080017089844
149.660736576149	780.599975585938	149.660736576149	775.599975585938
152.602102380488	780.520019531250	152.602102380488	775.840026855469
155.542490152740	781.479980468750	155.542490152740	776.200012207031
158.481900352672	781.520019531250	158.481900352672	776.640014648438
161.420333439765	781.559997558594	161.420333439765	776.760009765625
164.357789873227	781.960021972656	164.357789873227	776.719970703125
167.294270111968	782.599975585938	167.294270111968	777.559997558594
170.229774614617	782.640014648438	170.229774614617	777.520019531250
173.164303839496	783.239990234375	173.164303839496	778.479980468750
176.097858244675	783.919982910156	176.097858244675	778.520019531250
179.030438287908	783.760009765625	179.030438287908	779.200012207031
181.962044426678	784.159973144531	181.962044426678	779.280029296875
184.892677118170	784.520019531250	184.892677118170	780.239990234375
187.822336819302	785.760009765625	187.822336819302	780.159973144531
190.751023986678	786.000000000000	190.751023986678	780.960021972656
193.678739076648	786.119995117188	193.678739076648	780.919982910156
196.605482545255	786.119995117188	196.605482545255	781.359985351563
199.531254848261	786.880004882813	199.531254848261	781.239990234375
